Name,Latitude ,Longitute,Estimated central pressure,MSSW,Pressure Drop,sst,Intensity
1bob22dd,5.3,84,1004,25,4,28.8,D
1bob22dd,5.6,83.7,1004,25,4,28.8,D
1bob22dd,6.1,83.4,1004,25,4,29,D
1bob22dd,7.1,83.3,1004,25,4,29,D
1bob22dd,7.8,83.1,1004,25,4,28.8,D
1bob22dd,8.5,83,1004,25,4,28.8,D
1bob22dd,8.9,82.9,1003,25,5,28.3,D
1bob22dd,9.2,82.8,1003,25,5,28.2,D
1bob22dd,10,82.7,1002,30,6,27.9,DD
1bob22dd,10.3,82.6,1002,30,6,27.9,DD
1bob22dd,11,82.6,1002,30,6,28,DD
1bob22dd,11.4,82.6,1002,30,6,28,DD
1bob22dd,11.6,82.6,1002,30,6,28,DD
1bob22dd,11.7,82.5,1002,30,6,28,DD
1bob22dd,11.5,82.4,1003,25,5,28,D
1bob22dd,11.2,82.2,1004,25,4,28,D
3bob22scs,9.4,91.3,996,25,4,30.9,D
3bob22scs,10.3,90.4,995,30,5,31,DD
3bob22scs,10.8,90.1,994,30,5,30.9,DD
3bob22scs,11.2,89.3,992,35,7,30.7,CS
3bob22scs,11.4,89.1,990,40,8,30.4,CS
3bob22scs,11.6,88.7,988,45,10,30.1,CS
3bob22scs,11.8,88.4,988,45,10,30,CS
3bob22scs,12.2,88.2,986,50,12,30,SCS
3bob22scs,12.4,87.9,986,50,12,29.9,SCS
3bob22scs,13,87.5,984,55,14,30.3,SCS
3bob22scs,13.3,87.2,984,55,14,31.5,SCS
3bob22scs,13.8,86.3,983,55,15,30.3,SCS
3bob22scs,14,86,982,55,16,30.3,SCS
3bob22scs,14.3,85.6,982,55,16,30.8,SCS
3bob22scs,14.5,85.3,982,55,16,30.9,SCS
3bob22scs,14.5,85,982,55,16,30.8,SCS
3bob22scs,14.6,84.6,982,55,16,31.2,SCS
3bob22scs,14.7,84.5,982,55,16,31.2,SCS
3bob22scs,14.7,84.2,982,55,16,30.8,SCS
3bob22scs,14.8,84,982,55,16,29,SCS
3bob22scs,14.8,83.3,984,55,14,28.9,SCS
3bob22scs,14.9,82.6,984,55,14,29.4,SCS
3bob22scs,15,82.4,984,55,14,29.8,SCS
3bob22scs,15.2,82.1,984,50,14,30.1,SCS
3bob22scs,15.2,82.1,985,50,13,30.1,SCS
3bob22scs,15.5,81.6,986,50,12,30.2,SCS
3bob22scs,15.6,81.3,986,45,10,29.9,CS
3bob22scs,15.8,81.4,988,45,10,29.9,CS
3bob22scs,15.9,81.4,988,45,10,29.9,CS
3bob22scs,16,81.3,990,40,8,29.8,CS
3bob22scs,16.1,81.3,990,40,8,29.8,CS
3bob22scs,16.3,81.3,992,35,6,29.8,DD
